_time,_measurement,data_type,pkt,dir,log_raw_hex,log_msg,can_id,dlc,scenario,timestamp_epoch,label_raw,log_lvl
2016-11-03 18:39:36.389427+00:00,can,CAN,0,rx,05 21 68 09 21 21 00 6F,<CAN  flags=0x0 identifier=0x316 length=8 reserved=0 data=b'\x05!h\t!!\x00o' |>,0316,8,attack_dos,1478198376.389427,R,normal
2016-11-03 18:39:36.389636+00:00,can,CAN,1,rx,FE 5B 00 00 00 3C 00 00,<CAN  flags=0x0 identifier=0x18f length=8 reserved=0 data=b'\xfe[\x00\x00\x00<\x00\x00' |>,018F,8,attack_dos,1478198376.389636,R,normal
2016-11-03 18:39:36.389864+00:00,can,CAN,2,rx,19 21 22 30 08 8E 6D 3A,"<CAN  flags=0x0 identifier=0x260 length=8 reserved=0 data=b'\x19!""0\x08\x8em:' |>",0260,8,attack_dos,1478198376.389864,R,normal
2016-11-03 18:39:36.390096+00:00,can,CAN,3,rx,64 00 9A 1D 97 02 BD 00,<CAN  flags=0x0 identifier=0x2a0 length=8 reserved=0 data=b'd\x00\x9a\x1d\x97\x02\xbd\x00' |>,02A0,8,attack_dos,1478198376.390096,R,normal
2016-11-03 18:39:36.390333+00:00,can,CAN,4,rx,40 BB 7F 14 11 20 00 14,<CAN  flags=0x0 identifier=0x329 length=8 reserved=0 data=b'@\xbb\x7f\x14\x11 \x00\x14' |>,0329,8,attack_dos,1478198376.390333,R,normal
2016-11-03 18:39:36.390574+00:00,can,CAN,5,rx,D8 00 00 8A 00 00 00 00,<CAN  flags=0x0 identifier=0x545 length=8 reserved=0 data=b'\xd8\x00\x00\x8a\x00\x00\x00\x00' |>,0545,8,attack_dos,1478198376.390574,R,normal
2016-11-03 18:39:36.393317+00:00,can,CAN,6,rx,00 00 00 00 00 03 0B 11,<CAN  flags=0x0 identifier=0x2 length=8 reserved=0 data=b'\x00\x00\x00\x00\x00\x03\x0b\x11' |>,0002,8,attack_dos,1478198376.393317,R,normal
2016-11-03 18:39:36.393552+00:00,can,CAN,7,rx,00 21 10 FF 00 FF 00 00,<CAN  flags=0x0 identifier=0x153 length=8 reserved=0 data=b'\x00!\x10\xff\x00\xff\x00\x00' |>,0153,8,attack_dos,1478198376.393552,R,normal
2016-11-03 18:39:36.394175+00:00,can,CAN,8,rx,14 00 00 00 00 00 00 00,<CAN  flags=0x0 identifier=0x2c0 length=8 reserved=0 data=b'\x14\x00\x00\x00\x00\x00\x00\x00' |>,02C0,8,attack_dos,1478198376.394175,R,normal
2016-11-03 18:39:36.394414+00:00,can,CAN,9,rx,08 80 00 FF 31 80 0B 7F,<CAN  flags=0x0 identifier=0x130 length=8 reserved=0 data=b'\x08\x80\x00\xff1\x80\x0b\x7f' |>,0130,8,attack_dos,1478198376.394414,R,normal
2016-11-03 18:39:36.394656+00:00,can,CAN,10,rx,E5 7F 00 00 48 7F 0B AC,<CAN  flags=0x0 identifier=0x131 length=8 reserved=0 data=b'\xe5\x7f\x00\x00H\x7f\x0b\xac' |>,0131,8,attack_dos,1478198376.394656,R,normal
2016-11-03 18:39:36.394890+00:00,can,CAN,11,rx,00 00 00 00 08 22 2B A3,"<CAN  flags=0x0 identifier=0x140 length=8 reserved=0 data=b'\x00\x00\x00\x00\x08""+\xa3' |>",0140,8,attack_dos,1478198376.39489,R,normal
2016-11-03 18:39:36.395242+00:00,can,CAN,12,rx,05 20 14 68 77 00 00 2E,<CAN  flags=0x0 identifier=0x350 length=8 reserved=0 data=b'\x05 \x14hw\x00\x00.' |>,0350,8,attack_dos,1478198376.395242,R,normal
2016-11-03 18:39:36.395972+00:00,can,CAN,13,rx,00 40 60 FF 7E CE 08 00,<CAN  flags=0x0 identifier=0x43f length=8 reserved=0 data=b'\x00@`\xff~\xce\x08\x00' |>,043F,8,attack_dos,1478198376.395972,R,normal
2016-11-03 18:39:36.396220+00:00,can,CAN,14,rx,00 20 00 00 00 00 00 00,<CAN  flags=0x0 identifier=0x370 length=8 reserved=0 data=b'\x00 \x00\x00\x00\x00\x00\x00' |>,0370,8,attack_dos,1478198376.39622,R,normal
2016-11-03 18:39:36.396465+00:00,can,CAN,15,rx,FF 00 00 00 FF CE 08 00,<CAN  flags=0x0 identifier=0x440 length=8 reserved=0 data=b'\xff\x00\x00\x00\xff\xce\x08\x00' |>,0440,8,attack_dos,1478198376.396465,R,normal
2016-11-03 18:39:36.399567+00:00,can,CAN,16,rx,05 21 68 09 21 21 00 6F,<CAN  flags=0x0 identifier=0x316 length=8 reserved=0 data=b'\x05!h\t!!\x00o' |>,0316,8,attack_dos,1478198376.399567,R,normal
2016-11-03 18:39:36.399806+00:00,can,CAN,17,rx,FE 5B 00 00 00 3C 00 00,<CAN  flags=0x0 identifier=0x18f length=8 reserved=0 data=b'\xfe[\x00\x00\x00<\x00\x00' |>,018F,8,attack_dos,1478198376.399806,R,normal
2016-11-03 18:39:36.400036+00:00,can,CAN,18,rx,19 21 22 30 08 8E 6D 07,"<CAN  flags=0x0 identifier=0x260 length=8 reserved=0 data=b'\x19!""0\x08\x8em\x07' |>",0260,8,attack_dos,1478198376.400036,R,normal
2016-11-03 18:39:36.400272+00:00,can,CAN,19,rx,04 00 9A 1D 97 02 BD 00,<CAN  flags=0x0 identifier=0x2a0 length=8 reserved=0 data=b'\x04\x00\x9a\x1d\x97\x02\xbd\x00' |>,02A0,8,attack_dos,1478198376.400272,R,normal
2016-11-03 18:39:36.400512+00:00,can,CAN,20,rx,40 BB 7F 14 11 20 00 14,<CAN  flags=0x0 identifier=0x329 length=8 reserved=0 data=b'@\xbb\x7f\x14\x11 \x00\x14' |>,0329,8,attack_dos,1478198376.400512,R,normal
2016-11-03 18:39:36.400754+00:00,can,CAN,21,rx,00 00 00 80 00 69 D1 13,<CAN  flags=0x0 identifier=0x4f0 length=8 reserved=0 data=b'\x00\x00\x00\x80\x00i\xd1\x13' |>,04F0,8,attack_dos,1478198376.400754,R,normal
2016-11-03 18:39:36.400997+00:00,can,CAN,22,rx,D8 00 00 8A 00 00 00 00,<CAN  flags=0x0 identifier=0x545 length=8 reserved=0 data=b'\xd8\x00\x00\x8a\x00\x00\x00\x00' |>,0545,8,attack_dos,1478198376.400997,R,normal
2016-11-03 18:39:36.403298+00:00,can,CAN,23,rx,00 00 00 00 00 00 00 00,<CAN  flags=0x0 identifier=0x430 length=8 reserved=0 data=b'\x00\x00\x00\x00\x00\x00\x00\x00' |>,0430,8,attack_dos,1478198376.403298,R,normal
2016-11-03 18:39:36.403529+00:00,can,CAN,24,rx,29 27 27 23 00 00 00 9A,"<CAN  flags=0x0 identifier=0x4b1 length=8 reserved=0 data=b"")''#\x00\x00\x00\x9a"" |>",04B1,8,attack_dos,1478198376.403529,R,normal
2016-11-03 18:39:36.403777+00:00,can,CAN,25,rx,08 00 00 00 00 00 00 00,<CAN  flags=0x0 identifier=0x1f1 length=8 reserved=0 data=b'\x08\x00\x00\x00\x00\x00\x00\x00' |>,01F1,8,attack_dos,1478198376.403777,R,normal
2016-11-03 18:39:36.404016+00:00,can,CAN,26,rx,00 21 10 FF 00 FF 00 00,<CAN  flags=0x0 identifier=0x153 length=8 reserved=0 data=b'\x00!\x10\xff\x00\xff\x00\x00' |>,0153,8,attack_dos,1478198376.404016,R,normal
